,kernel,C,acc
0,<function linear at 0x7f2ce0d0ee60>,1e-05,98.856
1,<function linear at 0x7f2ce0d0ee60>,0.2222311111111111,99.3565
2,<function linear at 0x7f2ce0d0ee60>,0.4444522222222222,99.42800000000003
3,<function linear at 0x7f2ce0d0ee60>,0.6666733333333332,99.53524999999999
4,<function linear at 0x7f2ce0d0ee60>,0.8888944444444443,99.5996
5,<function linear at 0x7f2ce0d0ee60>,1.1111155555555556,99.64249999999998
6,<function linear at 0x7f2ce0d0ee60>,1.3333366666666666,99.67314285714285
7,<function linear at 0x7f2ce0d0ee60>,1.5555577777777776,99.696125
8,<function linear at 0x7f2ce0d0ee60>,1.7777788888888888,99.69811111111109
9,<function linear at 0x7f2ce0d0ee60>,2.0,99.69969999999998
10,<function poly at 0x7f2ce7ce0e60>,1e-05,99.675
11,<function poly at 0x7f2ce7ce0e60>,0.2222311111111111,99.66633333333333
12,<function poly at 0x7f2ce7ce0e60>,0.4444522222222222,99.64799999999998
13,<function poly at 0x7f2ce7ce0e60>,0.6666733333333332,99.6425
14,<function poly at 0x7f2ce7ce0e60>,0.8888944444444443,99.63773333333332
15,<function poly at 0x7f2ce7ce0e60>,1.1111155555555556,99.6335625
16,<function poly at 0x7f2ce7ce0e60>,1.3333366666666666,99.62988235294117
17,<function poly at 0x7f2ce7ce0e60>,1.5555577777777776,99.62661111111109
18,<function poly at 0x7f2ce7ce0e60>,1.7777788888888888,99.62368421052629
19,<function poly at 0x7f2ce7ce0e60>,2.0,99.62105
20,<function sigmoid at 0x7f2ce7ce0dd0>,1e-05,94.87719047619048
21,<function sigmoid at 0x7f2ce7ce0dd0>,0.2222311111111111,90.56459090909091
22,<function sigmoid at 0x7f2ce7ce0dd0>,0.4444522222222222,86.627
23,<function sigmoid at 0x7f2ce7ce0dd0>,0.6666733333333332,83.01754166666666
24,<function sigmoid at 0x7f2ce7ce0dd0>,0.8888944444444443,79.69684
25,<function sigmoid at 0x7f2ce7ce0dd0>,1.1111155555555556,76.63157692307692
26,<function sigmoid at 0x7f2ce7ce0dd0>,1.3333366666666666,73.79337037037037
27,<function sigmoid at 0x7f2ce7ce0dd0>,1.5555577777777776,71.15789285714285
28,<function sigmoid at 0x7f2ce7ce0dd0>,1.7777788888888888,68.7041724137931
29,<function sigmoid at 0x7f2ce7ce0dd0>,2.0,66.41403333333334
30,<function rbf at 0x7f2ce7ce0d40>,1e-05,66.78316129032258
31,<function rbf at 0x7f2ce7ce0d40>,0.2222311111111111,67.12921874999999
32,<function rbf at 0x7f2ce7ce0d40>,0.4444522222222222,67.45430303030302
33,<function rbf at 0x7f2ce7ce0d40>,0.6666733333333332,67.76026470588235
34,<function rbf at 0x7f2ce7ce0d40>,0.8888944444444443,68.04874285714286
35,<function rbf at 0x7f2ce7ce0d40>,1.1111155555555556,68.33708333333333
36,<function rbf at 0x7f2ce7ce0d40>,1.3333366666666666,68.60983783783783
37,<function rbf at 0x7f2ce7ce0d40>,1.5555577777777776,68.86823684210525
38,<function rbf at 0x7f2ce7ce0d40>,1.7777788888888888,69.1133846153846
39,<function rbf at 0x7f2ce7ce0d40>,2.0,69.34627499999999
