Ano,Brasil,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
2001,172385826,13245084,48331186,73470763,25453264,11885529
2002,174632960,13504599,48845112,74447456,25734253,12101540
2003,176871437,13784881,49352225,75391969,26025091,12317271
2004,181569056,14373260,50424713,77374720,26635629,12760734
2005,184184264,14698878,51019091,78472017,26973511,13020767
2006,186770562,15022060,51609027,79561095,27308863,13269517
2008,189605006,15142686,53080679,80187706,27497986,13695949
2009,191480630,15359608,53591197,80915332,27719118,13895375
2011,192379287,16095187,53501859,80975616,27562433,14244192
2012,193904015,16303145,53907144,81565983,27708514,14419229
2013,201032714,16983484,55794707,84465570,28795762,14993191
2014,202768562,17231027,56186190,85115623,29016114,15219608
2015,204450049,17472636,56559481,85745520,29230180,15442232
2016,206081432,17707783,56915936,86356952,29439773,15660988
2017,207660929,17936201,57254159,86949714,29644948,15875907
2018,208494900,18182253,56760780,87711946,29754036,16085885
2019,210147125,18430980,57071654,88371433,29975984,16297074
